cohesion,separation,alignment_variance,clusters,isolated,connected
1.8369828874832398e-07,15358.111250014284,565.103355571048,29,0,100
1.807313975660934e-07,15569.077137796376,469.2989495606404,27,0,100
1.8053816116593195e-07,14963.035641727585,357.33152401451457,26,0,100
1.8029742933842472e-07,14857.152564326225,480.73407140434045,25,0,100
1.8009883237678466e-07,14772.110609273777,344.2315608822944,25,0,100
1.7989439747948155e-07,14668.992155067288,227.07353249443378,25,0,100
1.761487785016187e-07,14948.376781108784,232.47974828248587,25,0,100
1.6949651746853714e-07,14818.394203974016,230.1664201775662,24,0,100
1.6911132435944878e-07,13790.785578798514,336.94663964307557,24,0,100
1.6888132734532208e-07,13684.449452164932,638.9176930341439,24,0,100
1.6882552162062606e-07,13601.209003348462,398.26844738535465,24,0,100
1.6209980987162668e-07,14162.723983951737,286.7848668671178,25,0,100
1.587758781780617e-07,13303.955722079401,438.6023014579868,24,0,100
1.55576502792569e-07,13519.258035932013,766.5139959995984,24,0,100
1.4504004523506272e-07,13489.117562754715,551.0813804556363,25,0,100
1.360628561971157e-07,13165.559550231994,561.6162519539915,24,0,100
1.2431056614121574e-07,13385.384246652095,698.7891468975363,25,0,100
1.0917726888801394e-07,13977.383927103667,759.8993203442218,25,0,100
9.910380458798351e-08,11477.048183239433,839.1565567926954,26,0,100
9.002513205257276e-08,11112.009369272058,571.4997131405471,26,0,100
7.995502840083818e-08,12052.657800689649,788.0238354688744,28,0,100
7.571193210021791e-08,10502.537059738885,730.8309666435018,28,0,100
7.187832391999243e-08,11230.365330225412,614.2295326476477,28,0,100
6.723540597565442e-08,10723.141157196636,843.7422241536448,27,0,100
6.473240529716257e-08,8541.538752764784,1653.3594377333022,27,0,100
6.08858591306356e-08,11742.714965164476,1677.3872733636222,29,0,100
5.78611752743662e-08,9410.271457289888,1627.5388545875107,28,0,100
5.6486196399778134e-08,8641.643452300195,1371.7914520376905,27,0,100
5.64314632796392e-08,7055.458764160839,1534.4875067789424,26,0,100
5.5841329305471917e-08,7326.711208773965,1173.6696735102228,27,0,100
5.3770181337050324e-08,8218.315943279744,1140.6619354334682,28,0,100
5.3871299037239015e-08,6173.209740043338,1011.6660131877669,28,0,100
5.3336893178013e-08,6974.445682780995,1050.757140792477,27,0,100
5.278140509912625e-08,7290.112568432587,956.7141996659874,24,0,100
5.261910496726011e-08,6551.688773176458,1153.026013738213,25,0,100
